2025-07-16 13:40:14,517 [INFO] Connecting to 149.154.167.51:443/TcpFull...
2025-07-16 13:40:16,370 [INFO] Connection to 149.154.167.51:443/TcpFull complete!
2025-07-16 13:40:35,399 [INFO] Phone migrated to 4
2025-07-16 13:40:35,599 [INFO] Reconnecting to new data center 4
2025-07-16 13:40:35,766 [INFO] Disconnecting from 149.154.167.51:443/TcpFull...
2025-07-16 13:40:35,767 [INFO] Disconnection from 149.154.167.51:443/TcpFull complete!
2025-07-16 13:40:35,767 [INFO] Connecting to 149.154.167.92:443/TcpFull...
2025-07-16 13:40:37,528 [INFO] Connection to 149.154.167.92:443/TcpFull complete!
2025-07-16 13:40:56,488 [INFO] [2025-07-16] Chemed: scraped 0 msgs, of which 0 # images
2025-07-16 13:40:57,186 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:40:57,745 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:40:58,064 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:40:58,330 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:40:58,715 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:40:59,779 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:00,075 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:00,456 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:01,146 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:01,941 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:02,999 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:03,421 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:03,709 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:03,922 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:04,146 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:04,432 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:04,689 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:05,161 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:05,653 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:06,288 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:06,798 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:07,244 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:07,550 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:08,446 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:08,860 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:09,068 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:09,611 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:09,950 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:10,259 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:10,665 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:11,079 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:11,334 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:11,725 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:12,206 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:12,744 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
